cod_pedido,regiao_pais,produto,valor,quantidade,valor_total_bruto,data,estado,formapagto,centro_distribuicao,responsavelpedido,valor_comissao,lucro_liquido,categoriaprod
40498,Nordeste,"Racao Royal Canin Exigent Gatos Adultos 1,5Kg",98,85.0,8330,10/6/2019,Maranhao,Boleto Bancário,Gold Beach,Clarice,"164,9","4122,5",Alimentacao
40587,Norte,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,25,86.0,2150,24/11/2019,Rondônia,Pix,Rapid Pink,Yuri,"130,72","1307,2",Petisco
40599,Nordeste,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,31,83.0,2573,7/10/2019,Paraíba,Cartao Débito,Gold Beach,Cristina,"116,2",1162,Petisco
40655,Sudeste,Cama Coracao Coroa Pet Nest Almofada Lavável,85,85.0,7225,8/4/2019,Espírito Santo,Boleto Bancário,Papa Léguas,Tereza,391,4692,Acessório
40658,Sul,Cama Coracao Coroa Pet Nest Almofada Lavável,97,84.0,8148,7/6/2019,Rio Grande do Sul,Cartao Crédito,Tree True,Vivian,"340,2","4082,4",Acessório
40686,Norte,Biscoito  True Champion 300g,22,4.0,88,7/10/2019,Pará,Boleto Bancário,Rapid Pink,Julia,"1,76","35,2",Alimentacao
40687,Norte,Biscoito  True Champion 300g,19,4.0,76,22/01/2019,Rondônia,Cartao Crédito,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
40689,Norte,Biscoito  True Champion 300g,19,4.0,76,19/11/2019,Roraima,Cartao Crédito,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
40693,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,8/4/2019,Mato Grosso do  Sul,Dinheiro,Graos Blue,Ligia,"2,08","41,6",Alimentacao
40694,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,23/08/2019,Distrito Federal,Cartao Débito,Graos Blue,Lucia,"2,24","44,8",Alimentacao
40699,Nordeste,Biscoito  True Champion 300g,22,4.0,88,20/11/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"1,76","35,2",Alimentacao
40701,Sudeste,Biscoito  True Champion 300g,23,4.0,92,17/10/2019,Piauí,Cartao Crédito,Gold Beach,Cristian,"1,84","36,8",Alimentacao
40702,Sudeste,Biscoito  True Champion 300g,17,4.0,68,4/10/2019,Sao Paulo,Cartao Débito,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
40704,Sudeste,Biscoito  True Champion 300g,18,86.0,1548,27/09/2019,Rio de Janeiro,Cartao Crédito,Papa Léguas,Antonio,"30,96","619,2",Alimentacao
40705,Sudeste,Biscoito  True Champion 300g,19,4.0,76,7/1/2019,Espírito Santo,Boleto Bancário,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
40706,Sul,Biscoito  True Champion 300g,16,4.0,64,21/04/2019,Paraná,Dinheiro,Tree True,Beatriz,"1,28","25,6",Alimentacao
40717,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,13/10/2019,Mato Grosso,Boleto Bancário,Graos Blue,Andressa,"1,52","30,4",Brinquedo
40724,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,15/12/2019,Paraíba,Cartao Crédito,Gold Beach,Cristina,"1,76","35,2",Brinquedo
40726,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,19/09/2019,Piauí,Cartao Crédito,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
40733,Sul,Bola Pet Vinil Big Blue,20,4.0,80,20/07/2019,Rio Grande do Sul,Dinheiro,Tree True,Vivian,"1,6",32,Brinquedo
40771,Nordeste,Penas Gatito,17,83.0,1411,7/9/2019,Bahia,Pix,Gold Beach,Sonia,"15,77","1135,44",Brinquedo
40839,Norte,Roupa para Cao Billaboard,46,83.0,3818,12/12/2019,Roraima,Pix,Rapid Pink,Adriana,"109,56","2008,6",Acessório
40860,Norte,Vitamina E Granulado BigForce,67,84.0,5628,31/12/2019,Amapá,Pix,Rapid Pink,Maria Linda,"245,28","3372,6",Medicamento
40865,Norte,Vitamina E Granulado BigForce,62,85.0,5270,1/1/2019,Amazonas,Pix,Rapid Pink,Silvia,238,"3272,5",Medicamento
40884,Norte,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,289,84.0,24276,12/8/2019,Acre,Boleto Bancário,Rapid Pink,Carlos,"897,12","12335,4",Medicamento
40895,Nordeste,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,284,84.0,23856,17/11/2019,Alagoas,Cartao Débito,Gold Beach,Marta,"977,76","13444,2",Medicamento
40901,Sudeste,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,290,86.0,24940,26/04/2019,Piauí,Boleto Bancário,Gold Beach,Cristian,"758,52","13906,2",Medicamento
40964,Norte,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,29,83.0,2407,3/12/2019,Roraima,Cartao Débito,Rapid Pink,Adriana,"25,73","2058,4",Higiene e Limpeza
40966,Centro Oeste,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,30,83.0,2490,6/4/2019,Goiás,Dinheiro,Graos Blue,Maria Clara,"24,9",1992,Higiene e Limpeza
40981,Sul,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,29,83.0,2407,20/11/2019,Paraná,Boleto Bancário,Tree True,Beatriz,"24,07","1925,6",Higiene e Limpeza
41010,Norte,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,42,84.0,3528,8/12/2019,Amapá,Pix,Rapid Pink,Maria Linda,"90,72",1512,Bebedouros e Comedouros
41029,Sudeste,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,43,84.0,3612,5/8/2019,Rio de Janeiro,Dinheiro,Papa Léguas,Antonio,"90,72",1512,Bebedouros e Comedouros
41032,Sul,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,41,83.0,3403,13/04/2019,Santa  Catarina,Cartao Crédito,Tree True,Vitória,"107,07","1784,5",Bebedouros e Comedouros
41077,Sudeste,Racao Royal Canin Club Performance para Caes Adultos,217,85.0,18445,19/03/2019,Sao Paulo,Dinheiro,Papa Léguas,Miriam,"367,2",7344,Alimentacao
41118,Centro Oeste,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,38,83.0,3154,21/06/2019,Mato Grosso do  Sul,Boleto Bancário,Graos Blue,Ligia,"43,16",1079,Alimentacao
41127,Sudeste,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,30,83.0,2490,15/08/2019,Sao Paulo,Dinheiro,Papa Léguas,Miriam,"36,52",913,Alimentacao
41129,Sudeste,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,30,85.0,2550,14/09/2019,Rio de Janeiro,Dinheiro,Papa Léguas,Antonio,"40,8",1020,Alimentacao
41163,Norte,Whiskas Petisco Temptations Anti Bola de Pelo 40g,8,86.0,688,1/9/2019,Tocantins,Boleto Bancário,Rapid Pink,Dolores,"15,48","154,8",Petisco
41221,Nordeste,Meias esportivas para caes para ambientes internos e externos,32,84.0,2688,2/7/2019,Bahia,Dinheiro,Gold Beach,Sonia,"104,16","1041,6",Acessório
41262,Norte,Bandana Disney Mickey Fábrica Petti ,9,83.0,747,21/03/2019,Rondônia,Dinheiro,Rapid Pink,Yuri,"11,62","406,7",Acessório
41280,Sudeste,Bandana Disney Mickey Fábrica Petti ,12,84.0,1008,27/01/2019,Espírito Santo,Dinheiro,Papa Léguas,Tereza,"16,8",588,Acessório
41286,Norte,Biscoito  True Champion 300g,22,4.0,88,28/03/2019,Pará,Cartao Débito,Rapid Pink,Julia,"1,76","35,2",Alimentacao
41287,Norte,Biscoito  True Champion 300g,19,4.0,76,4/5/2019,Rondônia,Dinheiro,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
41289,Norte,Biscoito  True Champion 300g,19,4.0,76,10/7/2019,Roraima,Pix,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
41293,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,17/05/2019,Mato Grosso do  Sul,Cartao Débito,Graos Blue,Ligia,"2,08","41,6",Alimentacao
41294,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,6/12/2019,Distrito Federal,Pix,Graos Blue,Lucia,"2,24","44,8",Alimentacao
41299,Nordeste,Biscoito  True Champion 300g,22,4.0,88,10/1/2019,Paraíba,Pix,Gold Beach,Cristina,"1,76","35,2",Alimentacao
41301,Sudeste,Biscoito  True Champion 300g,23,4.0,92,23/06/2019,Piauí,Cartao Débito,Gold Beach,Cristian,"1,84","36,8",Alimentacao
41302,Sudeste,Biscoito  True Champion 300g,17,4.0,68,30/09/2019,Sao Paulo,Dinheiro,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
41305,Sudeste,Biscoito  True Champion 300g,19,4.0,76,12/3/2019,Espírito Santo,Dinheiro,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
41306,Sul,Biscoito  True Champion 300g,16,4.0,64,16/06/2019,Paraná,Cartao Débito,Tree True,Beatriz,"1,28","25,6",Alimentacao
41307,Sul,Biscoito  True Champion 300g,16,86.0,1376,28/04/2019,Santa  Catarina,Boleto Bancário,Tree True,Vitória,"27,52","550,4",Alimentacao
41311,Norte,Bola Pet Vinil Big Blue,22,86.0,1892,24/08/2019,Pará,Cartao Crédito,Rapid Pink,Julia,"37,84","756,8",Brinquedo
41317,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,17/08/2019,Mato Grosso,Cartao Débito,Graos Blue,Andressa,"1,52","30,4",Brinquedo
41324,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,5/1/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"1,76","35,2",Brinquedo
41326,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,29/05/2019,Piauí,Pix,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
41333,Sul,Bola Pet Vinil Big Blue,20,4.0,80,19/03/2019,Rio Grande do Sul,Cartao Débito,Tree True,Vivian,"1,6",32,Brinquedo
41348,Nordeste,Cama média almofadada Pity,60,85.0,5100,12/1/2019,Maranhao,Boleto Bancário,Gold Beach,Clarice,"43,35",2601,Acessório
41361,Norte,Penas Gatito,15,84.0,1260,31/12/2019,Pará,Pix,Rapid Pink,Julia,"15,12","1088,64",Brinquedo
41402,Sudeste,Mordedor de Corda Bola,11,84.0,924,2/4/2019,Sao Paulo,Dinheiro,Papa Léguas,Miriam,"30,24","604,8",Brinquedo
41431,Sul,Roupa para Gato Petti,33,84.0,2772,7/10/2019,Paraná,Dinheiro,Tree True,Beatriz,"95,76","1659,84",Acessório
41498,Nordeste,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,281,84.0,23604,31/08/2019,Maranhao,Cartao Crédito,Gold Beach,Clarice,"917,28","12612,6",Medicamento
41506,Sul,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,277,86.0,23822,13/12/2019,Paraná,Boleto Bancário,Tree True,Beatriz,"704,34","12912,9",Medicamento
41512,Norte,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,41,85.0,3485,29/08/2019,Rondônia,Pix,Rapid Pink,Yuri,"109,65","2010,25",Medicamento
41595,Nordeste,Kit Banho e Tosa com Escova PetShop Caopeon,64,83.0,5312,12/2/2019,Alagoas,Dinheiro,Gold Beach,Marta,"282,2","4515,2",Higiene e Limpeza
41635,Norte,Nutri Alimentador Inteligente Automático Câmera Google Alexa,823,86.0,70778,30/05/2019,Amapá,Pix,Rapid Pink,Maria Linda,"4593,26","19685,4",Bebedouros e Comedouros
41656,Sul,Nutri Alimentador Inteligente Automático Câmera Google Alexa,849,86.0,73014,22/09/2019,Paraná,Boleto Bancário,Tree True,Beatriz,"5189,24","22239,6",Bebedouros e Comedouros
41788,Norte,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,28,85.0,2380,14/05/2019,Tocantins,Cartao Débito,Rapid Pink,Dolores,"129,2",1292,Petisco
41840,Norte,Cama Coracao Coroa Pet Nest Almofada Lavável,86,86.0,7396,9/11/2019,Amazonas,Cartao Crédito,Rapid Pink,Silvia,387,4644,Acessório
41854,Sudeste,Cama Coracao Coroa Pet Nest Almofada Lavável,86,84.0,7224,4/10/2019,Rio de Janeiro,Cartao Crédito,Papa Léguas,Antonio,"382,2","4586,4",Acessório
41886,Norte,Biscoito  True Champion 300g,22,4.0,88,31/10/2019,Pará,Cartao Débito,Rapid Pink,Julia,"1,76","35,2",Alimentacao
41887,Norte,Biscoito  True Champion 300g,19,4.0,76,9/7/2019,Rondônia,Boleto Bancário,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
41889,Norte,Biscoito  True Champion 300g,19,4.0,76,30/03/2019,Roraima,Dinheiro,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
41893,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,15/11/2019,Mato Grosso do  Sul,Pix,Graos Blue,Ligia,"2,08","41,6",Alimentacao
41894,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,19/07/2019,Distrito Federal,Boleto Bancário,Graos Blue,Lucia,"2,24","44,8",Alimentacao
41899,Nordeste,Biscoito  True Champion 300g,22,4.0,88,31/12/2019,Paraíba,Cartao Débito,Gold Beach,Cristina,"1,76","35,2",Alimentacao
41901,Sudeste,Biscoito  True Champion 300g,23,4.0,92,1/11/2019,Piauí,Pix,Gold Beach,Cristian,"1,84","36,8",Alimentacao
41902,Sudeste,Biscoito  True Champion 300g,17,4.0,68,7/1/2019,Sao Paulo,Cartao Débito,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
41905,Sudeste,Biscoito  True Champion 300g,19,4.0,76,8/5/2019,Espírito Santo,Dinheiro,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
41906,Sul,Biscoito  True Champion 300g,16,4.0,64,20/03/2019,Paraná,Dinheiro,Tree True,Beatriz,"1,28","25,6",Alimentacao
41911,Norte,Bola Pet Vinil Big Blue,22,85.0,1870,29/08/2019,Pará,Pix,Rapid Pink,Julia,"37,4",748,Brinquedo
41917,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,14/01/2019,Mato Grosso,Boleto Bancário,Graos Blue,Andressa,"1,52","30,4",Brinquedo
41924,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,27/09/2019,Paraíba,Boleto Bancário,Gold Beach,Cristina,"1,76","35,2",Brinquedo
41926,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,5/12/2019,Piauí,Cartao Crédito,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
41930,Sudeste,Bola Pet Vinil Big Blue,19,86.0,1634,27/05/2019,Espírito Santo,Cartao Débito,Papa Léguas,Tereza,"32,68","653,6",Brinquedo
41933,Sul,Bola Pet Vinil Big Blue,20,4.0,80,2/5/2019,Rio Grande do Sul,Cartao Débito,Tree True,Vivian,"1,6",32,Brinquedo
41954,Sudeste,Cama média almofadada Pity,52,85.0,4420,5/3/2019,Rio de Janeiro,Cartao Débito,Papa Léguas,Antonio,"50,15",3009,Acessório
41967,Centro Oeste,Penas Gatito,16,85.0,1360,15/07/2019,Mato Grosso,Boleto Bancário,Graos Blue,Andressa,"15,3","1101,6",Brinquedo
41982,Sul,Penas Gatito,14,84.0,1176,23/03/2019,Santa  Catarina,Pix,Tree True,Vitória,"14,28","1028,16",Brinquedo
41987,Norte,Mordedor de Corda Bola,12,83.0,996,28/10/2019,Rondônia,Cartao Débito,Rapid Pink,Yuri,"29,88","597,6",Brinquedo
42100,Nordeste,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,285,83.0,23655,16/07/2019,Pernambuco,Dinheiro,Gold Beach,Claudio,"893,08","12279,85",Medicamento
42182,Sul,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,31,83.0,2573,8/6/2019,Santa  Catarina,Cartao Débito,Tree True,Vitória,"24,07","1925,6",Higiene e Limpeza
42228,Sudeste,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,39,86.0,3354,6/8/2019,Minas Gerais,Dinheiro,Papa Léguas,Monique,"108,36",1806,Bebedouros e Comedouros
42283,Sul,Racao Royal Canin Club Performance para Caes Adultos,216,86.0,18576,12/8/2019,Rio Grande do Sul,Cartao Débito,Tree True,Vivian,"364,64","7292,8",Alimentacao
42296,Nordeste,"Racao Royal Canin Exigent Gatos Adultos 1,5Kg",100,83.0,8300,28/02/2019,Bahia,Pix,Gold Beach,Sonia,"152,72",3818,Alimentacao
42347,Nordeste,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,30,83.0,2490,31/10/2019,Ceará,Boleto Bancário,Gold Beach,Neide,"77,19","771,9",Petisco
42368,Centro Oeste,Whiskas Petisco Temptations Anti Bola de Pelo 40g,5,84.0,420,9/4/2019,Mato Grosso do  Sul,Pix,Graos Blue,Ligia,"17,64","176,4",Petisco
42390,Norte,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,26,84.0,2184,9/4/2019,Amazonas,Boleto Bancário,Rapid Pink,Silvia,"104,16","1041,6",Petisco
42415,Norte,Meias esportivas para caes para ambientes internos e externos,31,85.0,2635,2/12/2019,Amazonas,Pix,Rapid Pink,Silvia,"112,2",1122,Acessório
42486,Norte,Biscoito  True Champion 300g,22,4.0,88,26/12/2019,Pará,Pix,Rapid Pink,Julia,"1,76","35,2",Alimentacao
42487,Norte,Biscoito  True Champion 300g,19,4.0,76,23/04/2019,Rondônia,Cartao Débito,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
42489,Norte,Biscoito  True Champion 300g,19,4.0,76,12/1/2019,Roraima,Dinheiro,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
42493,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,8/7/2019,Mato Grosso do  Sul,Cartao Débito,Graos Blue,Ligia,"2,08","41,6",Alimentacao
42494,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,28/10/2019,Distrito Federal,Cartao Débito,Graos Blue,Lucia,"2,24","44,8",Alimentacao
42499,Nordeste,Biscoito  True Champion 300g,22,4.0,88,31/10/2019,Paraíba,Pix,Gold Beach,Cristina,"1,76","35,2",Alimentacao
42501,Sudeste,Biscoito  True Champion 300g,23,4.0,92,20/03/2019,Piauí,Boleto Bancário,Gold Beach,Cristian,"1,84","36,8",Alimentacao
42502,Sudeste,Biscoito  True Champion 300g,17,4.0,68,3/2/2019,Sao Paulo,Cartao Débito,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
42505,Sudeste,Biscoito  True Champion 300g,19,4.0,76,8/10/2019,Espírito Santo,Cartao Débito,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
42506,Sul,Biscoito  True Champion 300g,16,4.0,64,24/08/2019,Paraná,Cartao Crédito,Tree True,Beatriz,"1,28","25,6",Alimentacao
42517,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,24/09/2019,Mato Grosso,Cartao Crédito,Graos Blue,Andressa,"1,52","30,4",Brinquedo
42524,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,20/02/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"1,76","35,2",Brinquedo
42526,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,31/08/2019,Piauí,Pix,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
42533,Sul,Bola Pet Vinil Big Blue,20,4.0,80,10/2/2019,Rio Grande do Sul,Cartao Crédito,Tree True,Vivian,"1,6",32,Brinquedo
42555,Sudeste,Cama média almofadada Pity,52,85.0,4420,17/10/2019,Espírito Santo,Cartao Crédito,Papa Léguas,Tereza,"40,8",2448,Acessório
42577,Sudeste,Penas Gatito,17,85.0,1445,20/03/2019,Sao Paulo,Cartao Crédito,Papa Léguas,Miriam,"14,45","1040,4",Brinquedo
42580,Sudeste,Penas Gatito,16,83.0,1328,23/02/2019,Espírito Santo,Pix,Papa Léguas,Tereza,"11,62","836,64",Brinquedo
42624,Nordeste,Roupa para Gato Petti,43,84.0,3612,1/11/2019,Paraíba,Boleto Bancário,Gold Beach,Cristina,"93,24","1616,16",Acessório
42645,Nordeste,Roupa para Cao Billaboard,29,83.0,2407,6/4/2019,Alagoas,Pix,Gold Beach,Marta,"132,8",1826,Acessório
42701,Sudeste,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,266,84.0,22344,13/05/2019,Piauí,Boleto Bancário,Gold Beach,Cristian,"743,4",13629,Medicamento
42721,Nordeste,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,41,83.0,3403,27/10/2019,Bahia,Cartao Débito,Gold Beach,Sonia,"74,7","1369,5",Medicamento
42779,Sudeste,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,29,86.0,2494,22/02/2019,Rio de Janeiro,Pix,Papa Léguas,Antonio,"25,8",2064,Higiene e Limpeza
42783,Sul,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,30,85.0,2550,12/9/2019,Rio Grande do Sul,Boleto Bancário,Tree True,Vivian,"26,35",2108,Higiene e Limpeza
42791,Centro Oeste,Kit Banho e Tosa com Escova PetShop Caopeon,66,86.0,5676,3/6/2019,Goiás,Cartao Crédito,Graos Blue,Maria Clara,"292,4","4678,4",Higiene e Limpeza
42792,Centro Oeste,Kit Banho e Tosa com Escova PetShop Caopeon,65,84.0,5460,28/04/2019,Mato Grosso,Cartao Crédito,Graos Blue,Andressa,"264,6","4233,6",Higiene e Limpeza
42794,Centro Oeste,Kit Banho e Tosa com Escova PetShop Caopeon,63,85.0,5355,28/09/2019,Distrito Federal,Dinheiro,Graos Blue,Lucia,"280,5",4488,Higiene e Limpeza
42851,Sudeste,Nutri Alimentador Inteligente Automático Câmera Google Alexa,806,83.0,66898,1/12/2019,Piauí,Dinheiro,Gold Beach,Cristian,"4496,94","19272,6",Bebedouros e Comedouros
42852,Sudeste,Nutri Alimentador Inteligente Automático Câmera Google Alexa,838,86.0,72068,6/1/2019,Sao Paulo,Cartao Débito,Papa Léguas,Miriam,"4906,3",21027,Bebedouros e Comedouros
42855,Sudeste,Nutri Alimentador Inteligente Automático Câmera Google Alexa,858,83.0,71214,9/2/2019,Espírito Santo,Cartao Débito,Papa Léguas,Tereza,"5101,18","21862,2",Bebedouros e Comedouros
42866,Centro Oeste,Racao Royal Canin Club Performance para Caes Adultos,218,83.0,18094,29/07/2019,Goiás,Pix,Graos Blue,Maria Clara,"363,54","7270,8",Alimentacao
42921,Nordeste,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,33,84.0,2772,18/10/2019,Bahia,Dinheiro,Gold Beach,Sonia,"55,44",1386,Alimentacao
42949,Nordeste,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,27,83.0,2241,4/9/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"72,21","722,1",Petisco
42957,Sul,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,29,83.0,2407,16/12/2019,Santa  Catarina,Dinheiro,Tree True,Vitória,"72,21","722,1",Petisco
42976,Sudeste,Whiskas Petisco Temptations Anti Bola de Pelo 40g,8,85.0,680,24/04/2019,Piauí,Cartao Débito,Gold Beach,Cristian,"15,3",153,Petisco
42999,Nordeste,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,27,84.0,2268,23/04/2019,Paraíba,Pix,Gold Beach,Cristina,"110,88","1108,8",Petisco
43055,Sudeste,Cama Coracao Coroa Pet Nest Almofada Lavável,94,85.0,7990,3/7/2019,Espírito Santo,Dinheiro,Papa Léguas,Tereza,"403,75",4845,Acessório
43086,Norte,Biscoito  True Champion 300g,22,4.0,88,5/11/2019,Pará,Cartao Crédito,Rapid Pink,Julia,"1,76","35,2",Alimentacao
43087,Norte,Biscoito  True Champion 300g,19,4.0,76,7/12/2019,Rondônia,Pix,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
43089,Norte,Biscoito  True Champion 300g,19,4.0,76,20/03/2019,Roraima,Dinheiro,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
43093,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,23/11/2019,Mato Grosso do  Sul,Dinheiro,Graos Blue,Ligia,"2,08","41,6",Alimentacao
43094,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,29/08/2019,Distrito Federal,Cartao Crédito,Graos Blue,Lucia,"2,24","44,8",Alimentacao
43099,Nordeste,Biscoito  True Champion 300g,22,4.0,88,28/10/2019,Paraíba,Cartao Débito,Gold Beach,Cristina,"1,76","35,2",Alimentacao
43101,Sudeste,Biscoito  True Champion 300g,23,4.0,92,19/09/2019,Piauí,Pix,Gold Beach,Cristian,"1,84","36,8",Alimentacao
43102,Sudeste,Biscoito  True Champion 300g,17,4.0,68,29/06/2019,Sao Paulo,Boleto Bancário,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
43105,Sudeste,Biscoito  True Champion 300g,19,4.0,76,13/12/2019,Espírito Santo,Dinheiro,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
43106,Sul,Biscoito  True Champion 300g,16,4.0,64,19/03/2019,Paraná,Dinheiro,Tree True,Beatriz,"1,28","25,6",Alimentacao
43117,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,17/09/2019,Mato Grosso,Cartao Débito,Graos Blue,Andressa,"1,52","30,4",Brinquedo
43124,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,12/1/2019,Paraíba,Cartao Débito,Gold Beach,Cristina,"1,76","35,2",Brinquedo
43126,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,1/10/2019,Piauí,Boleto Bancário,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
43133,Sul,Bola Pet Vinil Big Blue,20,4.0,80,23/08/2019,Rio Grande do Sul,Boleto Bancário,Tree True,Vivian,"1,6",32,Brinquedo
43256,Sul,Roupa para Cao Billaboard,34,85.0,2890,8/7/2019,Paraná,Cartao Débito,Tree True,Beatriz,"105,4","1449,25",Acessório
43379,Sudeste,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,29,84.0,2436,9/1/2019,Rio de Janeiro,Pix,Papa Léguas,Antonio,"24,36","1948,8",Higiene e Limpeza
43395,Nordeste,Kit Banho e Tosa com Escova PetShop Caopeon,65,83.0,5395,17/01/2019,Alagoas,Pix,Gold Beach,Marta,"265,6","4249,6",Higiene e Limpeza
43414,Norte,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,44,83.0,3652,4/7/2019,Roraima,Boleto Bancário,Rapid Pink,Adriana,"104,58",1743,Bebedouros e Comedouros
43473,Nordeste,Racao Royal Canin Club Performance para Caes Adultos,218,84.0,18312,24/10/2019,Maranhao,Dinheiro,Gold Beach,Clarice,"369,6",7392,Alimentacao
43607,Sul,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,34,85.0,2890,15/08/2019,Santa  Catarina,Boleto Bancário,Tree True,Vitória,"122,4",1224,Petisco
43638,Norte,Cama Coracao Coroa Pet Nest Almofada Lavável,90,84.0,7560,25/11/2019,Tocantins,Cartao Crédito,Rapid Pink,Dolores,"386,4","4636,8",Acessório
43651,Sudeste,Cama Coracao Coroa Pet Nest Almofada Lavável,90,84.0,7560,16/06/2019,Piauí,Cartao Débito,Gold Beach,Cristian,"340,2","4082,4",Acessório
43686,Norte,Biscoito  True Champion 300g,22,4.0,88,26/07/2019,Pará,Cartao Débito,Rapid Pink,Julia,"1,76","35,2",Alimentacao
43687,Norte,Biscoito  True Champion 300g,19,4.0,76,6/1/2019,Rondônia,Pix,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
43689,Norte,Biscoito  True Champion 300g,19,4.0,76,12/7/2019,Roraima,Cartao Crédito,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
